,lat,lon,turbine_type,rotor_diameter,rated_turbine_power,wind_turbines,wind_capacity_MW,PV_capacity_MW,electrolyzer_capacity_MW,CO2_capture_tonph,heatpump_capacity_MW,battery_capacity_MWh,H2stor_capacity_MWh,CO2stor_capacity_ton,H2tL_capacity_MW,curtailed_el_MWh,wind_production_MWh,PV_production_MWh,NPV_EUR,CAPEX_EUR,LCOF_MWh,LCOF_liter,runtime
39,48.0,16.875,N117/2400,117.0,2400.0,6.0,14.4,14.845297814568049,10.603800127459985,1.0267470886531729,2.2360971688825386,0.0,203.14146493092224,211.75494587963112,1.2682919967423065,1518.4246836647528,65926.99342517566,18587.303342109382,68376588.93714295,42208305.48445845,417.63196496890816,3.9907054430362336,888.7844939231873
40,48.5,13.125,N131/3300,131.0,3300.0,5.0,16.5,20.311644360617386,11.756764471654522,1.116164648204801,2.460805488177765,0.0,204.31868664697325,294.06399733608066,1.2638271945331203,47.14441858489527,61493.09775728226,23752.282546808827,79163376.47813246,49420436.35338453,483.5157323002508,4.620261441980175,1056.1632840633392
41,48.5,13.75,N131/3300,131.0,3300.0,6.0,19.8,16.670512466416444,11.65796174697447,1.2424602197708159,2.7795966776825884,0.0,202.59828083617967,299.47013900785254,1.2521237413514223,3572.9648284492496,71397.11517481042,18214.289107586806,81900516.84232946,50270830.26581232,500.23369566262545,4.780010869665087,602.6256279945374
42,48.5,14.375,N131/3300,131.0,3300.0,6.0,19.8,12.51387124985759,10.894787344045632,1.1315947991365867,2.504105653850612,0.0,163.06451752547176,209.28359935588784,1.2457106748115598,3969.3197367950397,80526.67599397946,13923.919621062181,74754066.68507975,45709069.28296422,456.584457405534,4.36291814854177,859.7598340511322
43,48.5,15.0,GE120/2500,120.0,2500.0,7.0,17.5,8.412293391352867,11.185790866800478,1.1240809820117443,2.48003299312952,0.0,202.14848829369814,222.1582368684975,1.2659872005361998,0.13006489713688915,78080.35886924267,9863.680334570008,69070045.88365653,41718160.33522812,421.86747586080185,4.031178102669885,1066.500571012497
44,48.5,15.625,N131/3300,131.0,3300.0,5.0,16.5,12.873049539711161,11.750732081030806,1.1305597661476567,2.498050425820666,0.0,268.1779634382159,265.5589532719141,1.259006861765629,4.224536600886165,69689.69993132114,14548.493028616493,74209468.90457825,45742597.906093515,453.25815165200146,4.331133449119125,979.8789639472961
45,48.5,16.25,GE120/2500,120.0,2500.0,6.0,15.0,12.381200673050092,10.920821357622339,1.1028537137042091,2.43035735224536,0.0,245.65886182142646,289.7059912946082,1.2529790338004725,1.7051184290363652,68562.45735218811,14437.737790952782,69443374.70512964,42465817.15043356,424.14770147186107,4.052966925175562,758.0772922039032
46,48.5,16.875,N117/2400,117.0,2400.0,7.0,16.8,10.094400650061202,10.984749605088863,1.031550687460029,2.2536570658058053,0.0,229.48973492595027,200.4725431887561,1.2470078713353818,3726.8718130298107,76198.0068555789,12163.846358417775,68892778.4512681,42449976.84564207,420.7847581168467,4.020832133116535,1690.5558469295502
47,49.0,13.75,N131/3300,131.0,3300.0,5.0,16.5,18.048479710687555,10.649539995549388,1.185029224223271,2.650713916873778,0.0,208.34061917071583,412.5743016446053,1.1957789251702435,2469.6886589256387,65443.900399575235,21538.315699066392,76277772.81288268,46794663.446910955,465.89098167182175,4.451847158197409,891.4022948741913
48,49.0,15.0,GE120/2500,120.0,2500.0,6.0,15.0,16.929089223084148,9.943117008819472,1.1477266007754492,2.5529416427902816,0.0,160.84342125511128,395.9590921060552,1.1875789286379859,8.531606324627901,67011.45327677536,20093.10298715459,70383055.98687991,42667145.692693636,429.88710652616453,4.107810129027794,713.3053498268127
49,49.0,15.625,GE120/2500,120.0,2500.0,6.0,15.0,14.452242441644715,10.75229732376316,1.0853079443970282,2.387983956078539,0.0,196.22319625119516,292.24629817747285,1.2472619053452128,11.522946462700506,68994.18275667,15982.072425421367,69613016.69607995,42613577.60907914,425.183844384561,4.06286784634136,1266.0838420391083
50,49.0,16.25,GE120/2500,120.0,2500.0,6.0,15.0,11.395983521485253,10.959782264303263,1.1043722875734145,2.43435203628674,0.0,238.45907599278334,311.9710845419825,1.2522188751794343,502.800830921096,69817.05615413189,13231.433390957212,68465668.12403473,41696820.02119565,418.1760446961617,3.995904427096656,1152.2376239299774
51,49.0,16.875,GE120/2500,120.0,2500.0,6.0,15.0,11.146374484114993,10.968156190803379,1.0764539844601964,2.360358944833014,0.0,205.17097070954745,206.83358902718896,1.2683129460025953,881.7586863457768,69998.06332623768,13178.926571812868,67080290.58083145,40779338.25397236,409.7144066620729,3.9150487747709195,950.939581155777
